name,year,rank
Austria,1997,7
Taiwan,1997,12
Czechia,1997,15
Germany,1997,2
Japan,1997,1
South Korea,1997,19
Singapore,1997,21
Slovenia,1997,14
Switzerland,1997,3
United Kingdom,1997,5
Austria,1998,8
Taiwan,1998,14
Czechia,1998,12
Germany,1998,2
Japan,1998,1
South Korea,1998,21
Singapore,1998,13
Slovenia,1998,15
Switzerland,1998,3
United Kingdom,1998,5
Austria,1999,8
Taiwan,1999,12
Czechia,1999,15
Germany,1999,2
Japan,1999,1
South Korea,1999,21
Singapore,1999,9
Slovenia,1999,14
Switzerland,1999,3
United Kingdom,1999,5
Austria,2000,8
Taiwan,2000,9
Czechia,2000,13
Germany,2000,2
Japan,2000,1
South Korea,2000,20
Singapore,2000,12
Slovenia,2000,15
Switzerland,2000,3
United Kingdom,2000,4
Austria,2001,8
Taiwan,2001,10
Czechia,2001,13
Germany,2001,2
Japan,2001,1
South Korea,2001,16
Singapore,2001,11
Slovenia,2001,15
Switzerland,2001,3
United Kingdom,2001,4
Austria,2002,8
Taiwan,2002,7
Czechia,2002,13
Germany,2002,2
Japan,2002,1
South Korea,2002,15
Singapore,2002,11
Slovenia,2002,14
Switzerland,2002,3
United Kingdom,2002,5
Austria,2003,7
Taiwan,2003,8
Czechia,2003,11
Germany,2003,2
Japan,2003,1
South Korea,2003,17
Singapore,2003,10
Slovenia,2003,13
Switzerland,2003,3
United Kingdom,2003,6
Austria,2004,5
Taiwan,2004,7
Czechia,2004,12
Germany,2004,2
Japan,2004,1
South Korea,2004,15
Singapore,2004,9
Slovenia,2004,11
Switzerland,2004,3
United Kingdom,2004,8
Austria,2005,6
Taiwan,2005,9
Czechia,2005,12
Germany,2005,2
Japan,2005,1
South Korea,2005,11
Singapore,2005,10
Slovenia,2005,13
Switzerland,2005,3
United Kingdom,2005,7
Austria,2006,7
Taiwan,2006,9
Czechia,2006,10
Germany,2006,2
Japan,2006,1
South Korea,2006,12
Singapore,2006,8
Slovenia,2006,13
Switzerland,2006,3
United Kingdom,2006,6
Austria,2007,6
Taiwan,2007,10
Czechia,2007,8
Germany,2007,2
Japan,2007,1
South Korea,2007,11
Singapore,2007,7
Slovenia,2007,14
Switzerland,2007,3
United Kingdom,2007,9
Austria,2008,7
Taiwan,2008,11
Czechia,2008,9
Germany,2008,2
Japan,2008,1
South Korea,2008,12
Singapore,2008,4
Slovenia,2008,16
Switzerland,2008,3
United Kingdom,2008,8
Austria,2009,7
Taiwan,2009,10
Czechia,2009,8
Germany,2009,2
Japan,2009,1
South Korea,2009,9
Singapore,2009,4
Slovenia,2009,14
Switzerland,2009,3
United Kingdom,2009,12
Austria,2010,5
Taiwan,2010,8
Czechia,2010,7
Germany,2010,3
Japan,2010,1
South Korea,2010,9
Singapore,2010,4
Slovenia,2010,15
Switzerland,2010,2
United Kingdom,2010,12
Austria,2011,6
Taiwan,2011,8
Czechia,2011,7
Germany,2011,3
Japan,2011,1
South Korea,2011,9
Singapore,2011,4
Slovenia,2011,14
Switzerland,2011,2
United Kingdom,2011,12
Austria,2012,8
Taiwan,2012,9
Czechia,2012,6
Germany,2012,3
Japan,2012,1
South Korea,2012,4
Singapore,2012,5
Slovenia,2012,14
Switzerland,2012,2
United Kingdom,2012,12
Austria,2013,5
Taiwan,2013,9
Czechia,2013,6
Germany,2013,2
Japan,2013,1
South Korea,2013,7
Singapore,2013,4
Slovenia,2013,14
Switzerland,2013,3
United Kingdom,2013,12
Austria,2014,6
Taiwan,2014,5
Czechia,2014,7
Germany,2014,2
Japan,2014,1
South Korea,2014,4
Singapore,2014,8
Slovenia,2014,13
Switzerland,2014,3
United Kingdom,2014,14
Austria,2015,7
Taiwan,2015,5
Czechia,2015,8
Germany,2015,2
Japan,2015,1
South Korea,2015,4
Singapore,2015,6
Slovenia,2015,13
Switzerland,2015,3
United Kingdom,2015,12
Austria,2016,8
Taiwan,2016,5
Czechia,2016,7
Germany,2016,3
Japan,2016,1
South Korea,2016,4
Singapore,2016,6
Slovenia,2016,11
Switzerland,2016,2
United Kingdom,2016,14
Austria,2017,8
Taiwan,2017,5
Czechia,2017,7
Germany,2017,3
Japan,2017,1
South Korea,2017,4
Singapore,2017,6
Slovenia,2017,12
Switzerland,2017,2
United Kingdom,2017,14
Austria,2018,7
Taiwan,2018,5
Czechia,2018,8
Germany,2018,4
Japan,2018,1
South Korea,2018,3
Singapore,2018,6
Slovenia,2018,11
Switzerland,2018,2
United Kingdom,2018,12
Austria,2019,8
Taiwan,2019,5
Czechia,2019,7
Germany,2019,6
Japan,2019,1
South Korea,2019,3
Singapore,2019,4
Slovenia,2019,10
Switzerland,2019,2
United Kingdom,2019,13
Austria,2020,8
Taiwan,2020,4
Czechia,2020,7
Germany,2020,5
Japan,2020,1
South Korea,2020,3
Singapore,2020,6
Slovenia,2020,11
Switzerland,2020,2
United Kingdom,2020,13
Austria,2021,8
Taiwan,2021,3
Czechia,2021,7
Germany,2021,6
Japan,2021,1
South Korea,2021,4
Singapore,2021,5
Slovenia,2021,10
Switzerland,2021,2
United Kingdom,2021,9
Austria,2022,8
Taiwan,2022,5
Czechia,2022,7
Germany,2022,6
Japan,2022,1
South Korea,2022,2
Singapore,2022,4
Slovenia,2022,9
Switzerland,2022,3
United Kingdom,2022,10
